symbol,session,wallet,selected_at,entry_time,exit_trigger_time,exit_time,entry_price,exit_price,quantity,cost,proceeds,pnl_after_slippage,modeled_fees,net_pnl,exit_reason,stop_subtype,original_stop,buffered_stop,emergency_stop,atr,probability
FOXA,2026-07-10,2,2026-07-10T10:47:00-04:00,2026-07-10T10:47:15-04:00,2026-07-10T10:54:50-04:00,2026-07-10T10:55:00-04:00,54.8274,54.522725,0.9119527827327213,50.0,49.72215,-0.2778500000000008,0,-0.2778500000000008,STOP_LOSS,confirmed_buffered,54.63,54.558928571428574,54.408928571428575,0.2842857142857156,0.4501196516890543
CRWV,2026-07-10,2,2026-07-10T10:55:00-04:00,2026-07-10T10:55:15-04:00,2026-07-10T11:06:10-04:00,2026-07-10T11:06:20-04:00,89.7998775,88.55579995000001,0.5536995303807625,49.72215,49.033304,-0.6888459999999981,0,-0.6888459999999981,STOP_LOSS,confirmed_buffered,89.1298,88.90936785714285,88.61931785714285,0.8817285714285684,0.45016900507687124
SMCI,2026-07-10,1,2026-07-10T10:32:55-04:00,2026-07-10T10:33:10-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,28.304145,28.5507175,1.7665257155798206,50.0,50.435576,0.4355759999999975,0,0.4355759999999975,FORCE_EXIT,,28.27,28.198075,28.11345,0.28769999999999935,0.4571574514352971
ISRG,2026-07-13,1,2026-07-13T10:23:00-04:00,2026-07-13T10:23:15-04:00,2026-07-13T10:40:25-04:00,2026-07-13T10:40:35-04:00,409.2935445,407.75102250000003,0.12322592593443651,50.435576,50.245497,-0.19007899999999722,0,-0.19007899999999722,STOP_LOSS,confirmed_buffered,408.49,407.8964027777778,406.9076527777778,2.3743888888888716,0.4503323790657179
AMKR,2026-07-13,1,2026-07-13T10:58:10-04:00,2026-07-13T10:58:25-04:00,2026-07-13T12:34:30-04:00,2026-07-13T12:34:40-04:00,67.343655,65.777095,0.7461058803535389,50.245497,49.076677,-1.1688200000000037,0,-1.1688200000000037,STOP_LOSS,confirmed_buffered,66.0232,65.84393035714287,65.41723035714287,0.7170785714285698,0.4501991257369694
AVAV,2026-07-14,3,2026-07-14T10:30:00-04:00,2026-07-14T10:30:20-04:00,2026-07-14T11:52:05-04:00,2026-07-14T11:52:15-04:00,144.502215,143.33329750000001,0.3460154572717103,50.0,49.595536,-0.40446399999999727,0,-0.40446399999999727,STOP_LOSS,confirmed_buffered,143.8482,143.4410675,142.8256175,1.6285300000000007,0.46312148261432823
DG,2026-07-16,4,2026-07-16T10:45:00-04:00,2026-07-16T10:45:15-04:00,2026-07-16T10:48:25-04:00,2026-07-16T10:48:35-04:00,125.83288499999999,125.07743,0.397352409109908,50.0,49.699818,-0.3001819999999995,0,-0.3001819999999995,STOP_LOSS,confirmed_buffered,125.47,125.32288461538461,125.0928846153846,0.5884615384615345,0.45041329476974945
BOT,2026-07-17,4,2026-07-17T10:32:10-04:00,2026-07-17T10:32:25-04:00,2026-07-17T11:42:20-04:00,2026-07-17T11:42:30-04:00,28.244114999999997,27.256365000000002,1.7596521611670255,49.699818,47.961721,-1.7380970000000033,0,-1.7380970000000033,STOP_LOSS,emergency,27.86,27.719974999999998,27.579949999999997,0.6519363636363635,0.4558507304737277
CDE,2026-07-17,5,2026-07-17T10:33:00-04:00,2026-07-17T10:33:15-04:00,2026-07-17T15:45:00-04:00,2026-07-17T15:45:10-04:00,14.2221075,14.3592168,3.5156533586882253,50.0,50.482028,0.4820279999999997,0,0.4820279999999997,FORCE_EXIT,,14.17,14.13330909090909,14.07830909090909,0.14676363636363618,0.4502626921907651
MSTU,2026-07-20,5,2026-07-20T10:54:00-04:00,2026-07-20T10:54:15-04:00,2026-07-20T11:46:35-04:00,2026-07-20T11:46:45-04:00,18.959474999999998,20.28985,2.6626279472401007,50.482028,54.024321,3.542293000000001,0,3.542293000000001,TAKE_PROFIT,,18.701,18.606517857142858,18.45701785714286,0.37792857142857195,0.45038104349045793
